date,value
2000-05-26,32.590641
2000-05-30,33.793571
2000-05-31,33.916092
2000-06-01,34.684643
2000-06-02,36.489029
2000-06-05,36.355377
2000-06-06,36.711819
2000-06-07,36.756351
2000-06-08,36.667240
2000-06-09,37.313282
2000-06-12,36.205013
2000-06-13,36.667240
2000-06-14,36.489029
2000-06-15,36.533600
2000-06-16,36.333107
2000-06-19,37.246445
2000-06-20,37.491478
2000-06-21,37.691212
2000-06-22,36.554428
2000-06-23,36.309261
2000-06-26,36.755043
2000-06-27,36.175529
2000-06-28,37.089382
2000-06-29,36.509846
2000-06-30,36.860939
2000-07-03,37.379147
2000-07-05,36.955658
2000-07-06,37.390305
2000-07-07,37.624321
2000-07-10,37.869526
2000-07-11,37.824947
2000-07-12,38.582760
2000-07-13,38.705368
2000-07-14,38.738808
2000-07-17,38.872528
2000-07-18,38.203861
2000-07-19,37.535168
2000-07-20,38.159275
2000-07-21,37.111664
2000-07-24,36.571171
2000-07-25,36.643604
2000-07-26,36.576733
2000-07-27,35.573719
2000-07-28,34.949631
2000-07-31,35.841179
2000-08-01,35.607151
2000-08-02,35.662868
2000-08-03,35.640583
2000-08-04,35.818886
2000-08-07,36.482010
2000-08-08,36.309261
2000-08-09,36.047359
2000-08-10,35.841179
2000-08-11,36.465298
2000-08-14,36.844200
2000-08-15,36.309261
2000-08-16,36.487576
2000-08-17,36.821911
2000-08-18,36.766190
2000-08-21,36.899933
2000-08-22,36.844200
2000-08-23,36.788483
2000-08-24,37.334568
2000-08-25,37.490593
2000-08-28,37.557476
2000-08-29,37.914101
2000-08-30,37.958675
2000-08-31,38.337585
2000-09-01,38.649662
2000-09-05,38.382172
2000-09-06,38.215000
2000-09-07,38.783375
2000-09-08,38.114677
2000-09-11,38.159275
2000-09-12,38.036705
2000-09-13,38.226143
2000-09-14,38.449028
2000-09-15,37.735786
2000-09-18,36.844200
2000-09-19,37.446007
2000-09-20,37.148479
2000-09-21,36.455147
2000-09-22,36.924809
2000-09-25,36.969566
2000-09-26,36.443977
2000-09-27,36.276222
2000-09-28,37.260292
2000-09-29,37.081360
2000-10-02,36.477512
2000-10-03,35.946335
2000-10-04,36.197941
2000-10-05,35.828915
2000-10-06,34.956692
2000-10-09,34.878395
2000-10-10,34.039722
2000-10-11,33.927876
2000-10-12,32.899086
2000-10-13,34.173923
2000-10-16,34.442280
2000-10-17,33.575634
2000-10-18,33.301655
2000-10-19,34.330475
2000-10-20,34.766590
2000-10-23,35.113255
2000-10-24,34.598843
2000-10-25,33.827244
2000-10-26,34.352837
2000-10-27,34.375202
2000-10-30,34.531734
2000-10-31,35.426365
2000-11-01,35.448719
2000-11-02,36.298595
2000-11-03,36.253864
2000-11-06,35.974300
2000-11-07,36.276222
2000-11-08,35.627640
2000-11-09,35.247440
2000-11-10,34.352837
2000-11-13,34.006176
2000-11-14,34.822495
2000-11-15,35.269791
2000-11-16,34.246605
2000-11-17,34.464668
2000-11-20,33.570057
2000-11-21,33.374371
2000-11-22,32.675465
2000-11-24,33.592426
2000-11-27,33.687469
2000-11-28,32.675465
2000-11-29,32.585987
2000-11-30,31.892672
2000-12-01,32.608341
2000-12-04,32.250523
2000-12-05,33.816074
2000-12-06,33.033298
2000-12-07,32.943832
2000-12-08,33.391136
2000-12-11,34.911964
2000-12-12,34.151562
2000-12-13,33.515594
2000-12-14,32.981979
2000-12-15,32.802235
2000-12-18,33.296547
2000-12-19,32.712383
2000-12-20,31.678875
2000-12-21,31.926012
2000-12-22,33.251598
2000-12-26,33.442558
2000-12-27,34.330029
2000-12-28,35.430927
2000-12-29,34.419891
2001-01-02,33.217888
2001-01-03,34.594025
2001-01-04,34.150276
2001-01-05,33.094337
2001-01-08,33.206669
2001-01-09,33.156113
2001-01-10,34.217697
2001-01-11,34.683887
2001-01-12,34.779366
2001-01-16,35.475853
2001-01-17,35.453392
2001-01-18,35.588184
2001-01-19,34.959118
2001-01-22,35.206253
2001-01-23,36.082447
2001-01-24,35.947674
2001-01-25,35.812855
2001-01-26,35.812855
2001-01-29,36.540821
2001-01-30,36.778065
2001-01-31,36.271202
2001-02-01,36.537220
2001-02-02,35.721210
2001-02-05,35.793110
2001-02-06,36.361061
2001-02-07,36.450935
2001-02-08,35.904537
2001-02-09,35.444405
2001-02-12,36.235241
2001-02-13,35.893749
2001-02-14,36.271202
2001-02-15,36.450935
2001-02-16,35.663685
2001-02-20,35.250278
2001-02-21,34.635586
2001-02-22,34.150276
2001-02-23,34.222183
2001-02-26,34.977077
2001-02-27,34.347980
2001-02-28,33.844730
2001-03-01,34.078388
2001-03-02,34.168251
2001-03-05,34.042439
2001-03-06,34.545715
2001-03-07,34.725445
2001-03-08,34.437862
2001-03-09,33.826973
2001-03-12,32.868805
2001-03-13,33.211014
2001-03-14,32.418560
2001-03-15,32.292480
2001-03-16,31.698147
2001-03-19,32.526608
2001-03-20,31.770187
2001-03-21,31.283903
2001-03-22,30.977732
2001-03-23,31.788183
2001-03-26,32.220413
2001-03-27,32.479778
2001-03-28,31.608082
2001-03-29,31.662134
