date,value
1993-01-29,24.113256
1993-02-01,24.284760
1993-02-02,24.336214
1993-02-03,24.593468
1993-02-04,24.696367
1993-02-05,24.679211
1993-02-08,24.679211
1993-02-09,24.507717
1993-02-10,24.542006
1993-02-11,24.662060
1993-02-12,24.473415
1993-02-16,23.856014
1993-02-17,23.838854
1993-02-18,23.821701
1993-02-19,23.907457
1993-02-22,23.993206
1993-02-23,23.976067
1993-02-24,24.284760
1993-02-25,24.336214
1993-02-26,24.370525
1993-03-01,24.301926
1993-03-02,24.662060
1993-03-03,24.764973
1993-03-04,24.627768
1993-03-05,24.559170
1993-03-08,25.107967
1993-03-09,25.022230
1993-03-10,25.073689
1993-03-11,25.005081
1993-03-12,24.747820
1993-03-15,24.867876
1993-03-16,24.867876
1993-03-17,24.713524
1993-03-18,24.867876
1993-03-19,24.830250
1993-03-22,24.692389
1993-03-23,24.744072
1993-03-24,24.744072
1993-03-25,24.899174
1993-03-26,24.761314
1993-03-29,24.864704
1993-03-30,24.933619
1993-03-31,24.916409
1993-04-01,24.830250
1993-04-02,24.313299
1993-04-05,24.433914
1993-04-06,24.364992
1993-04-07,24.451141
1993-04-08,24.416691
1993-04-12,24.761314
1993-04-13,24.813009
1993-04-14,24.778545
1993-04-15,24.778545
1993-04-16,24.778545
1993-04-19,24.675158
1993-04-20,24.554539
1993-04-21,24.537289
1993-04-22,24.227148
1993-04-23,24.123764
1993-04-26,23.934212
1993-04-27,24.192686
1993-04-28,24.140985
1993-04-29,24.244362
1993-04-30,24.278845
1993-05-03,24.433914
1993-05-04,24.520079
1993-05-05,24.589014
1993-05-06,24.502855
1993-05-07,24.451141
1993-05-10,24.502855
1993-05-11,24.606228
1993-05-12,24.571775
1993-05-13,24.278845
1993-05-14,24.261602
1993-05-17,24.347776
1993-05-18,24.330526
1993-05-19,24.830250
1993-05-20,24.899174
1993-05-21,24.675158
1993-05-24,24.778545
1993-05-25,24.830250
1993-05-26,25.140394
1993-05-27,25.054241
1993-05-28,24.933619
1993-06-01,25.174864
1993-06-02,25.140394
1993-06-03,25.054241
1993-06-04,24.968096
1993-06-07,24.881931
1993-06-08,24.657927
1993-06-09,24.744072
1993-06-10,24.761314
1993-06-11,24.864704
1993-06-14,24.830250
1993-06-15,24.778545
1993-06-16,24.830250
1993-06-17,24.916409
1993-06-18,24.711193
1993-06-21,24.763269
1993-06-22,24.780615
1993-06-23,24.555023
1993-06-24,24.884739
1993-06-25,24.867392
1993-06-28,25.145050
1993-06-29,25.023571
1993-06-30,25.023571
1993-07-01,24.954153
1993-07-02,24.815329
1993-07-06,24.555023
1993-07-07,24.624434
1993-07-08,24.902098
1993-07-09,24.971502
1993-07-12,24.954153
1993-07-13,24.936790
1993-07-14,25.023571
1993-07-15,24.919443
1993-07-16,24.850023
1993-07-19,24.832682
1993-07-20,24.902098
1993-07-21,24.884739
1993-07-22,24.711193
1993-07-23,24.832682
1993-07-26,24.971502
1993-07-27,24.954153
1993-07-28,24.902098
1993-07-29,25.040916
1993-07-30,24.902098
1993-08-02,24.971502
1993-08-03,24.988857
1993-08-04,24.988857
1993-08-05,24.936790
1993-08-06,24.971502
1993-08-09,25.110334
1993-08-10,25.092997
1993-08-11,25.092997
1993-08-12,25.023571
1993-08-13,25.058279
1993-08-16,25.197115
1993-08-17,25.283871
1993-08-18,25.422697
1993-08-19,25.422697
1993-08-20,25.440054
1993-08-23,25.387989
1993-08-24,25.665644
1993-08-25,25.683008
1993-08-26,25.700336
1993-08-27,25.683008
1993-08-30,25.787115
1993-08-31,25.856529
1993-09-01,25.821821
1993-09-02,25.735048
1993-09-03,25.752420
1993-09-07,25.578880
1993-09-08,25.492100
1993-09-09,25.544165
1993-09-10,25.769753
1993-09-13,25.787115
1993-09-14,25.683008
1993-09-15,25.752420
1993-09-16,25.648289
1993-09-17,25.598564
1993-09-20,25.389021
1993-09-21,25.301723
1993-09-22,25.511259
1993-09-23,25.650934
1993-09-24,25.581100
1993-09-27,25.860472
1993-09-28,25.808096
1993-09-29,25.720797
1993-09-30,25.668398
1993-10-01,25.790632
1993-10-04,25.825556
1993-10-05,25.790632
1993-10-06,25.773176
1993-10-07,25.703327
1993-10-08,25.738256
1993-10-11,25.790632
1993-10-12,25.825556
1993-10-13,25.825556
1993-10-14,26.157333
1993-10-15,26.297016
1993-10-18,26.227179
1993-10-19,26.035093
1993-10-20,26.070011
1993-10-21,26.035093
1993-10-22,25.912878
1993-10-25,25.982710
1993-10-26,25.965261
1993-10-27,25.982710
1993-10-28,26.174788
1993-10-29,26.174788
1993-11-01,26.244625
1993-11-02,26.227179
1993-11-03,25.895397
1993-11-04,25.616032
1993-11-05,25.738256
1993-11-08,25.773176
1993-11-09,25.790632
1993-11-10,25.982710
1993-11-11,25.912878
1993-11-12,26.035093
1993-11-15,26.017637
1993-11-16,26.139874
1993-11-17,26.000187
1993-11-18,25.930319
1993-11-19,25.877951
1993-11-22,25.720797
1993-11-23,25.860472
1993-11-24,25.965261
1993-11-26,25.982710
1993-11-29,25.877951
1993-11-30,25.895397
1993-12-01,25.930319
1993-12-02,26.000187
1993-12-03,26.104933
1993-12-06,26.192247
1993-12-07,26.174788
1993-12-08,26.174788
1993-12-09,26.087486
1993-12-10,26.035093
1993-12-13,26.192247
1993-12-14,26.000187
1993-12-15,25.965261
1993-12-16,26.052553
1993-12-17,26.195736
1993-12-20,26.230898
1993-12-21,26.143005
1993-12-22,26.318808
1993-12-23,26.301233
1993-12-27,26.441862
1993-12-28,26.494612
1993-12-29,26.459452
1993-12-30,26.353962
1993-12-31,26.213316
1994-01-03,26.143005
1994-01-04,26.248480
1994-01-05,26.301233
1994-01-06,26.301233
1994-01-07,26.459452
1994-01-10,26.775928
1994-01-11,26.723171
1994-01-12,26.635260
1994-01-13,26.564941
1994-01-14,26.670429
1994-01-17,26.670429
1994-01-18,26.705580
1994-01-19,26.635260
1994-01-20,26.705580
1994-01-21,26.652847
1994-01-24,26.547354
1994-01-25,26.547354
1994-01-26,26.617680
1994-01-27,26.863813
1994-01-28,26.934145
1994-01-31,27.127525
1994-02-01,26.986889
1994-02-02,27.162701
1994-02-03,27.039629
1994-02-04,26.424288
1994-02-07,26.547354
1994-02-08,26.564941
1994-02-09,26.670429
1994-02-10,26.441862
1994-02-11,26.529774
1994-02-14,26.564941
1994-02-15,26.705580
1994-02-16,26.688005
1994-02-17,26.529774
1994-02-18,26.371548
1994-02-22,26.635260
1994-02-23,26.564941
1994-02-24,26.213316
1994-02-25,26.336391
1994-02-28,26.336391
1994-03-01,26.230898
1994-03-02,26.266071
1994-03-03,26.195736
1994-03-04,26.266071
1994-03-07,26.406719
1994-03-08,26.301233
1994-03-09,26.424288
1994-03-10,26.213316
1994-03-11,26.353962
1994-03-14,26.389141
1994-03-15,26.371548
1994-03-16,26.582533
1994-03-17,26.582533
1994-03-18,26.576731
1994-03-21,26.505981
1994-03-22,26.576731
1994-03-23,26.559038
1994-03-24,26.240749
1994-03-25,25.993196
1994-03-28,26.028564
1994-03-29,25.515772
1994-03-30,25.162127
1994-03-31,25.232855
1994-04-04,24.843840
1994-04-05,25.356630
1994-04-06,25.356630
1994-04-07,25.480400
1994-04-08,25.285904
1994-04-11,25.391996
1994-04-12,25.356630
1994-04-13,25.224024
1994-04-14,25.232855
1994-04-15,25.232855
1994-04-18,25.064880
1994-04-19,25.100252
1994-04-20,25.073709
1994-04-21,25.409678
1994-04-22,25.383152
1994-04-25,25.648399
1994-04-26,25.621883
1994-04-28,25.436203
1994-04-29,25.515772
1994-05-02,25.674908
1994-05-03,25.648399
1994-05-04,25.604185
1994-05-05,25.568829
1994-05-06,25.321285
1994-05-09,25.100252
1994-05-10,25.294743
1994-05-11,25.064880
1994-05-12,25.188654
1994-05-13,25.188654
1994-05-16,25.197491
1994-05-17,25.568829
1994-05-18,25.754494
1994-05-19,25.878262
1994-05-20,25.781017
1994-05-23,25.736801
1994-05-24,25.842886
1994-05-25,25.913622
1994-05-26,25.931320
1994-05-27,25.957834
1994-05-31,25.922476
1994-06-01,26.037395
1994-06-02,26.010889
1994-06-03,26.161177
1994-06-06,26.152346
1994-06-07,26.116976
1994-06-08,25.904781
1994-06-09,26.046238
1994-06-10,26.090445
1994-06-13,26.125822
1994-06-14,26.329165
1994-06-15,26.223074
1994-06-16,26.276119
1994-06-17,26.129459
1994-06-20,25.906961
1994-06-21,25.684475
1994-06-22,25.782356
1994-06-23,25.631071
1994-06-24,25.097092
1994-06-27,25.533175
1994-06-28,25.408575
1994-06-29,25.488684
1994-06-30,25.328485
1994-07-01,25.381891
1994-07-05,25.515375
1994-07-06,25.479769
1994-07-07,25.586561
1994-07-08,25.577665
1994-07-11,25.488684
1994-07-12,25.524277
1994-07-13,25.568783
1994-07-14,25.844664
1994-07-15,25.853556
1994-07-18,25.898079
1994-07-19,25.844664
1994-07-20,25.728964
1994-07-21,25.782356
1994-07-22,25.826874
1994-07-25,25.862476
1994-07-26,25.835772
1994-07-27,25.835772
1994-07-28,25.889174
1994-07-29,26.147255
1994-08-01,26.271852
1994-08-02,26.307438
1994-08-03,26.316345
1994-08-04,26.165051
1994-08-05,26.076036
1994-08-08,26.138346
1994-08-09,26.182846
1994-08-10,26.280746
1994-08-11,26.182846
1994-08-12,26.387543
1994-08-15,26.378647
1994-08-16,26.565533
1994-08-17,26.547747
1994-08-18,26.458752
1994-08-19,26.440939
1994-08-22,26.414227
1994-08-23,26.565533
1994-08-24,26.850328
1994-08-25,26.779133
1994-08-26,27.161823
1994-08-29,27.144030
1994-08-30,27.215216
1994-08-31,27.144030
1994-09-01,27.055027
1994-09-02,26.939312
1994-09-06,26.948225
1994-09-07,26.921535
1994-09-08,27.055027
1994-09-09,26.770243
1994-09-12,26.690136
1994-09-13,26.770243
1994-09-14,26.796923
1994-09-15,27.135107
1994-09-16,26.941990
1994-09-19,26.968868
1994-09-20,26.458494
1994-09-21,26.458494
1994-09-22,26.395828
1994-09-23,26.306269
1994-09-26,26.440578
1994-09-27,26.422670
1994-09-28,26.628624
1994-09-29,26.494301
1994-09-30,26.458494
1994-10-03,26.395828
1994-10-04,26.001854
1994-10-05,26.010809
1994-10-06,25.930218
1994-10-07,26.046625
1994-10-10,26.324184
1994-10-11,26.718155
1994-10-12,26.753973
1994-10-13,26.843515
1994-10-14,26.959923
1994-10-17,26.906204
1994-10-18,26.843515
1994-10-19,26.968868
1994-10-20,26.789776
1994-10-21,26.682344
1994-10-24,26.458494
1994-10-25,26.485357
1994-10-26,26.583864
1994-10-27,26.745008
1994-10-28,27.309099
1994-10-31,27.210617
1994-11-01,26.906204
1994-11-02,26.753973
1994-11-03,26.897221
1994-11-04,26.548029
1994-11-07,26.628624
1994-11-08,26.834560
1994-11-09,26.879322
1994-11-10,26.691292
1994-11-11,26.592802
1994-11-14,26.843515
1994-11-15,26.753973
1994-11-16,26.843515
1994-11-17,26.664440
1994-11-18,26.628624
1994-11-21,26.360010
1994-11-22,25.786970
1994-11-23,25.930218
1994-11-25,26.055580
1994-11-28,26.171982
1994-11-29,26.163033
1994-11-30,26.127213
1994-12-01,25.867550
1994-12-02,26.109314
1994-12-05,26.136177
1994-12-06,26.154057
1994-12-07,25.966034
1994-12-08,25.715330
1994-12-09,25.813812
1994-12-12,25.983944
1994-12-13,26.082434
1994-12-14,26.216751
1994-12-15,26.297327
1994-12-16,26.425764
1994-12-19,26.461874
1994-12-20,26.380650
1994-12-21,26.660431
1994-12-22,26.579212
