date,value
2007-05-30,70.587555
2007-05-31,70.587555
2007-06-01,70.602905
2007-06-04,70.618347
2007-06-05,70.618347
2007-06-06,70.649200
2007-06-07,70.633781
2007-06-08,70.649200
2007-06-11,70.680023
2007-06-12,70.618347
2007-06-13,70.680023
2007-06-14,70.710815
2007-06-15,70.772476
2007-06-18,70.787910
2007-06-19,70.787910
2007-06-20,70.803307
2007-06-21,70.803307
2007-06-22,70.864929
2007-06-25,70.834106
2007-06-26,70.849564
2007-06-27,70.834106
2007-06-28,70.864929
2007-06-29,70.895775
2007-07-02,70.915901
2007-07-03,70.915901
2007-07-05,70.915901
2007-07-06,70.946861
2007-07-09,70.962357
2007-07-10,70.977791
2007-07-11,70.977791
2007-07-12,70.993294
2007-07-13,71.008812
2007-07-16,71.024254
2007-07-17,71.055229
2007-07-18,71.039764
2007-07-19,71.055229
2007-07-20,71.086174
2007-07-23,71.086174
2007-07-24,71.086174
2007-07-25,71.101692
2007-07-26,71.117126
2007-07-27,71.148140
2007-07-30,71.086174
2007-07-31,71.179047
2007-08-01,71.155769
2007-08-02,71.171288
2007-08-03,71.140228
2007-08-06,71.217896
2007-08-07,71.233444
2007-08-08,71.202408
2007-08-09,71.264534
2007-08-10,71.311165
2007-08-13,71.326752
2007-08-14,71.311165
2007-08-15,71.326752
2007-08-16,71.419983
2007-08-17,71.466583
2007-08-20,71.528801
2007-08-21,71.513206
2007-08-22,71.513206
2007-08-23,71.466583
2007-08-24,71.451073
2007-08-27,71.357803
2007-08-28,71.435562
2007-08-29,71.482132
2007-08-30,71.497726
2007-08-31,71.482132
2007-09-04,71.493065
2007-09-05,71.508636
2007-09-06,71.508636
2007-09-07,71.555504
2007-09-10,71.571098
2007-09-11,71.493065
2007-09-12,71.602303
2007-09-13,71.586693
2007-09-14,71.633545
2007-09-17,71.664749
2007-09-18,71.617905
2007-09-19,71.649117
2007-09-20,71.602303
2007-09-21,71.633545
2007-09-24,71.695930
2007-09-25,71.711525
2007-09-26,71.633545
2007-09-27,71.649117
2007-09-28,71.617905
2007-10-01,71.696144
2007-10-02,71.649231
2007-10-03,71.664917
2007-10-04,71.743134
2007-10-05,71.664917
2007-10-08,71.774506
2007-10-09,71.727501
2007-10-10,71.790115
2007-10-11,71.774506
2007-10-12,71.790115
2007-10-15,71.758827
2007-10-16,71.805801
2007-10-17,71.837112
2007-10-18,71.837112
2007-10-19,71.899750
2007-10-22,71.868454
2007-10-23,71.868454
2007-10-24,71.899750
2007-10-25,71.884109
2007-10-26,71.852730
2007-10-29,71.915413
2007-10-30,71.884109
2007-10-31,71.899750
2007-11-01,71.948479
2007-11-02,71.995567
2007-11-05,71.995567
2007-11-06,71.995567
2007-11-07,72.042694
2007-11-08,71.995567
2007-11-09,72.058426
2007-11-12,72.089798
2007-11-13,72.074089
2007-11-14,72.042694
2007-11-15,72.089798
2007-11-16,72.089798
2007-11-19,72.121269
2007-11-20,72.136963
2007-11-21,72.168358
2007-11-23,72.184097
2007-11-26,72.136963
2007-11-27,72.199806
2007-11-28,72.215515
2007-11-29,72.168358
2007-11-30,72.184097
2007-12-03,72.166763
2007-12-04,72.182510
2007-12-05,72.182510
2007-12-06,72.198227
2007-12-07,72.261307
2007-12-10,72.214005
2007-12-11,72.308578
2007-12-12,72.292786
2007-12-13,72.324287
2007-12-14,72.277046
2007-12-17,72.308578
2007-12-18,72.308578
2007-12-19,72.340019
2007-12-20,72.371597
2007-12-21,72.371597
2007-12-24,72.371597
2007-12-26,72.340019
2007-12-27,72.371597
2007-12-28,72.370010
2007-12-31,72.354218
2008-01-02,72.417404
2008-01-03,72.370010
2008-01-04,72.354218
2008-01-07,72.417404
2008-01-08,72.370010
2008-01-09,72.322624
2008-01-10,72.354218
2008-01-11,72.385841
2008-01-14,72.448997
2008-01-15,72.433197
2008-01-16,72.433197
2008-01-17,72.401596
2008-01-18,72.448997
2008-01-22,72.480606
2008-01-23,72.559662
2008-01-24,72.591202
2008-01-25,72.512245
2008-01-28,72.543785
2008-01-29,72.607025
2008-01-30,72.638626
2008-01-31,72.638626
2008-02-01,72.630714
2008-02-04,72.646599
2008-02-05,72.599045
2008-02-06,72.662376
2008-02-07,72.646599
2008-02-08,72.646599
2008-02-11,72.662376
2008-02-12,72.646599
2008-02-13,72.662376
2008-02-14,72.678230
2008-02-15,72.678230
2008-02-19,72.678230
2008-02-20,72.646599
2008-02-21,72.709900
2008-02-22,72.709900
2008-02-25,72.678230
2008-02-26,72.725739
2008-02-27,72.741592
2008-02-28,72.741592
2008-02-29,72.757469
2008-03-03,72.784431
2008-03-04,72.784431
2008-03-05,72.768501
2008-03-06,72.800308
2008-03-07,72.800308
2008-03-10,72.800308
2008-03-11,72.800308
2008-03-12,72.816154
2008-03-13,72.800308
2008-03-14,72.895493
2008-03-17,72.879623
2008-03-18,72.958992
2008-03-19,72.974861
2008-03-20,72.958992
2008-03-24,72.895493
2008-03-25,72.847900
2008-03-26,72.895493
2008-03-27,72.911400
2008-03-28,72.847900
2008-03-31,72.927254
2008-04-01,72.879524
2008-04-02,72.879524
2008-04-03,72.879524
2008-04-04,72.911346
2008-04-07,72.879524
2008-04-08,72.927254
2008-04-09,72.927254
2008-04-10,72.927254
2008-04-11,72.927254
2008-04-14,72.959038
2008-04-15,72.959038
2008-04-16,72.911346
2008-04-17,72.911346
2008-04-18,72.863663
2008-04-21,72.895447
2008-04-22,72.911346
2008-04-23,72.911346
2008-04-24,72.927254
2008-04-25,72.927254
2008-04-28,72.879524
2008-04-29,72.959038
2008-04-30,72.879524
2008-05-01,72.933662
2008-05-02,72.885925
2008-05-05,72.901840
2008-05-06,72.870018
2008-05-07,72.917763
2008-05-08,72.885925
2008-05-09,72.917763
2008-05-12,72.917763
2008-05-13,72.885925
2008-05-14,72.885925
2008-05-15,72.885925
2008-05-16,72.901840
2008-05-19,72.901840
2008-05-20,72.870018
2008-05-21,72.870018
2008-05-22,72.917763
2008-05-23,72.917763
2008-05-27,72.917763
2008-05-28,72.949593
2008-05-29,72.917763
2008-05-30,72.949593
2008-06-02,73.008537
2008-06-03,73.008537
2008-06-04,72.992599
2008-06-05,72.944839
2008-06-06,72.960724
2008-06-09,72.992599
2008-06-10,73.040405
2008-06-11,73.088165
2008-06-12,73.040405
2008-06-13,73.088165
2008-06-16,73.088165
2008-06-17,73.072235
2008-06-18,73.104103
2008-06-19,73.088165
2008-06-20,73.120026
2008-06-23,73.120026
2008-06-24,73.120026
2008-06-25,73.135963
2008-06-26,73.135963
2008-06-27,73.167839
2008-06-30,73.120026
2008-07-01,73.145508
2008-07-02,73.145508
2008-07-03,73.145508
2008-07-07,73.129585
2008-07-08,73.097687
2008-07-09,73.113693
2008-07-10,73.177483
2008-07-11,73.225281
2008-07-14,73.225281
2008-07-15,73.241226
2008-07-16,73.257217
2008-07-17,73.145508
2008-07-18,73.241226
2008-07-21,73.177483
2008-07-22,73.209412
2008-07-23,73.241226
2008-07-24,73.225281
2008-07-25,73.241226
2008-07-28,73.241226
2008-07-29,73.241226
2008-07-30,73.257217
2008-07-31,73.257217
2008-08-01,73.234818
2008-08-04,73.250763
2008-08-05,73.266792
2008-08-06,73.234818
2008-08-07,73.282784
2008-08-08,73.266792
2008-08-11,73.282784
2008-08-12,73.234818
2008-08-13,73.298752
2008-08-14,73.282784
2008-08-15,73.298752
2008-08-18,73.250763
2008-08-19,73.314758
2008-08-20,73.314758
2008-08-21,73.330650
2008-08-22,73.346619
2008-08-25,73.330650
2008-08-26,73.346619
2008-08-27,73.346619
2008-08-28,73.346619
2008-08-29,73.314758
2008-09-02,73.367462
2008-09-03,73.367462
2008-09-04,73.367462
2008-09-05,73.383499
2008-09-08,73.383499
2008-09-09,73.367462
2008-09-10,73.399490
2008-09-11,73.383499
2008-09-12,73.415451
2008-09-15,73.495461
2008-09-16,73.527443
2008-09-17,73.847336
2008-09-18,73.639420
2008-09-19,73.383499
2008-09-22,73.415451
2008-09-23,73.655380
2008-09-24,73.431480
2008-09-25,73.511482
2008-09-26,73.639420
2008-09-29,73.959297
2008-09-30,73.687408
2008-10-01,73.676201
2008-10-02,73.644157
2008-10-03,73.644157
2008-10-06,73.628181
2008-10-07,73.612106
2008-10-08,73.548065
2008-10-09,73.660172
2008-10-10,73.724205
2008-10-13,73.435936
2008-10-14,73.564102
2008-10-15,73.580086
2008-10-16,73.548065
2008-10-17,73.387871
2008-10-20,73.564102
2008-10-21,73.564102
2008-10-22,73.467964
2008-10-23,73.564102
2008-10-24,73.484001
2008-10-27,73.596039
2008-10-28,73.580086
2008-10-29,73.499985
2008-10-30,73.596039
2008-10-31,73.516022
2008-11-03,73.495193
2008-11-04,73.527260
2008-11-05,73.559296
2008-11-06,73.671539
2008-11-07,73.671539
2008-11-10,73.655510
2008-11-11,73.655510
2008-11-12,73.671539
2008-11-13,73.671539
2008-11-14,73.671539
2008-11-17,73.703560
2008-11-18,73.623466
2008-11-19,73.607414
2008-11-20,73.655510
2008-11-21,73.639473
