date,value
2001-06-25,8.276800
2001-06-26,8.276800
2001-07-02,8.277000
2001-07-09,8.276700
2001-07-11,8.276900
2001-07-13,8.276700
2001-07-16,8.276700
2001-07-23,8.277000
2001-07-30,8.276700
2001-08-01,8.276900
2001-08-06,8.277000
2001-08-09,8.277300
2001-08-10,8.276800
2001-08-13,8.276800
2001-08-14,8.277100
2001-08-15,8.277100
2001-08-16,8.277100
2001-08-17,8.277000
2001-08-20,8.276800
2001-08-23,8.276800
2001-08-27,8.277000
2001-08-29,8.276900
2001-09-03,8.277000
2001-09-04,8.276800
2001-09-06,8.276800
2001-09-10,8.276700
2001-09-12,8.276900
2001-09-17,8.276700
2001-09-24,8.277000
2001-09-26,8.276900
2001-10-02,8.276800
2001-10-05,8.276800
2001-10-08,8.276700
2001-10-09,8.276900
2001-10-10,8.276800
2001-10-15,8.276600
2001-10-16,8.276700
2001-10-18,8.277000
2001-10-19,8.276800
2001-10-22,8.277000
2001-10-26,8.277000
2001-10-29,8.277000
2001-11-01,8.276900
2001-11-05,8.276800
2001-11-06,8.276700
2001-11-09,8.276600
2001-11-12,8.276500
2001-11-14,8.276700
2001-11-16,8.277100
2001-11-19,8.277100
2001-11-20,8.277000
2001-11-21,8.276900
2001-11-23,8.276900
2001-11-26,8.276900
2001-11-27,8.277000
2001-11-29,8.277400
2001-12-03,8.277000
2001-12-04,8.277100
2001-12-05,8.277200
2001-12-07,8.277200
2001-12-10,8.277000
2001-12-11,8.276800
2001-12-13,8.276700
2001-12-14,8.276800
2001-12-17,8.276900
2001-12-18,8.276800
2001-12-19,8.276700
2001-12-21,8.276700
2001-12-27,8.276600
2001-12-28,8.276700
2002-01-02,8.276600
2002-01-04,8.276600
2002-01-07,8.276800
2002-01-08,8.276700
2002-01-09,8.276700
2002-01-10,8.276600
2002-01-14,8.276700
2002-01-16,8.276700
2002-01-17,8.276800
2002-01-18,8.276700
2002-01-21,8.276800
2002-01-23,8.276500
2002-01-25,8.276500
2002-01-28,8.276700
2002-01-29,8.276600
2002-01-30,8.276500
2002-01-31,8.276500
2002-02-01,8.276600
2002-02-04,8.276600
2002-02-05,8.276500
2002-02-06,8.276700
2002-02-07,8.276600
2002-02-08,8.276700
2002-02-11,8.276800
2002-02-12,8.276800
2002-02-13,8.276800
2002-02-14,8.276800
2002-02-15,8.276800
2002-02-18,8.276800
2002-02-19,8.277000
2002-02-20,8.276800
2002-02-21,8.276600
2002-02-25,8.276500
2002-02-26,8.276700
2002-02-27,8.276600
2002-02-28,8.276500
2002-03-01,8.276600
2002-03-05,8.276500
2002-03-06,8.276600
2002-03-07,8.277100
2002-03-08,8.277100
2002-03-11,8.276900
2002-03-12,8.276700
2002-03-14,8.277100
2002-03-15,8.277500
2002-03-18,8.277300
2002-03-19,8.277500
2002-03-20,8.277400
2002-03-21,8.277200
2002-03-22,8.277000
2002-03-25,8.276900
2002-03-26,8.277100
2002-03-27,8.277200
2002-03-28,8.277400
2002-04-02,8.277200
2002-04-04,8.277100
2002-04-05,8.277000
2002-04-08,8.277100
2002-04-09,8.276900
