date,open,high,low,close,volume
1992-01-02,3152.1001,3172.6299,3139.3101,3172.3999,23550000
1992-01-03,3172.3999,3210.6399,3165.9199,3201.5000,23620000
1992-01-06,3201.5000,3213.3301,3191.8601,3200.1001,27280000
1992-01-07,3200.1001,3210.2000,3184.4800,3204.8000,25510000
1992-01-08,3204.8000,3229.2000,3185.8201,3203.8999,29040000
1992-01-09,3203.8999,3228.3101,3192.7500,3209.5000,29820000
1992-01-10,3209.5000,3217.1299,3185.3799,3199.5000,23440000
1992-01-13,3199.5000,3201.2500,3179.1101,3185.6001,19300000
1992-01-14,3185.6001,3248.8799,3182.9199,3246.2000,24220000
1992-01-15,3246.2000,3263.4199,3232.1101,3258.5000,29560000
1992-01-16,3258.5000,3262.7500,3222.0500,3249.6001,38100000
1992-01-17,3249.6001,3279.9600,3243.2900,3265.0000,39780000
1992-01-20,3265.0000,3269.8999,3245.0801,3254.0000,18190000
1992-01-21,3254.0000,3254.4700,3215.3401,3223.3999,24160000
1992-01-22,3223.3999,3256.0400,3216.9099,3255.8000,21590000
1992-01-23,3255.8000,3266.9900,3222.9399,3226.7000,22140000
1992-01-24,3226.7000,3248.4299,3216.6799,3232.8000,22600000
1992-01-27,3232.8000,3246.6499,3230.5500,3240.6001,19110000
1992-01-28,3240.6001,3275.4900,3239.9399,3272.1001,24960000
1992-01-29,3272.1001,3299.1899,3218.4700,3225.0000,32500000
1992-01-30,3225.0000,3247.3201,3216.0100,3244.8999,22080000
1992-01-31,3244.8999,3255.3701,3222.7200,3223.3999,20610000
1992-02-03,3223.3999,3239.0400,3213.5500,3234.1001,18860000
1992-02-04,3234.1001,3272.8101,3229.4299,3272.8000,23970000
1992-02-05,3272.8000,3282.2000,3251.7900,3257.6001,27360000
1992-02-06,3257.6001,3265.6499,3238.6001,3255.6001,20490000
1992-02-07,3255.6001,3269.8999,3207.9600,3225.3999,21660000
1992-02-10,3225.3999,3247.9900,3223.8401,3245.1001,16100000
1992-02-11,3245.1001,3259.6201,3236.1399,3251.6001,23400000
1992-02-12,3251.6001,3286.0000,3244.6299,3276.8000,21580000
1992-02-13,3276.8000,3283.9900,3236.3601,3246.7000,22200000
1992-02-14,3246.7000,3254.7000,3221.8201,3246.0000,21260000
1992-02-18,3246.0000,3268.5601,3219.1399,3224.7000,21970000
1992-02-19,3224.7000,3241.7300,3215.3401,3230.3000,22930000
1992-02-20,3230.6001,3283.7700,3230.5500,3280.6001,25840000
1992-02-21,3280.6001,3286.6699,3252.9099,3280.2000,26840000
1992-02-24,3280.2000,3289.8000,3266.1001,3282.3999,17880000
1992-02-25,3282.2000,3282.2000,3240.3799,3257.8000,20980000
1992-02-26,3257.8000,3290.9199,3254.4700,3283.3000,21160000
1992-02-27,3283.3000,3286.8999,3265.8799,3269.5000,18710000
1992-02-28,3269.5000,3293.3799,3259.3899,3267.7000,17960000
1992-03-02,3267.7000,3276.6201,3261.3999,3275.3000,17220000
1992-03-03,3275.3000,3295.6201,3272.8101,3290.3000,19520000
