date,value
1871-01-01,109.050018
1871-02-01,107.248908
1871-03-01,108.266269
1871-04-01,115.536124
1871-05-01,121.215781
1871-06-01,122.111712
1871-07-01,119.831618
1871-08-01,123.292878
1871-09-01,121.660246
1871-10-01,113.601508
1871-11-01,114.838997
1871-12-01,114.667254
1872-01-01,117.570222
1872-02-01,118.054050
1872-03-01,120.118777
1872-04-01,120.771050
1872-05-01,120.771050
1872-06-01,120.478516
1872-07-01,121.548762
1872-08-01,119.235368
1872-09-01,116.251200
1872-10-01,119.334604
1872-11-01,115.408628
1872-12-01,119.945102
1873-01-01,120.891415
1873-02-01,119.208334
1873-03-01,118.282444
1873-04-01,116.662137
1873-05-01,119.471946
1873-06-01,121.386055
1873-07-01,121.142308
1873-08-01,121.142308
1873-09-01,111.879918
1873-10-01,104.504963
1873-11-01,103.988147
1873-12-01,111.102952
1874-01-01,115.333993
1874-02-01,118.798963
1874-03-01,117.066478
1874-04-01,115.627506
1874-05-01,113.498023
1874-06-01,115.724784
1874-07-01,114.798796
1874-08-01,115.984256
1874-09-01,117.800565
1874-10-01,119.468398
1874-11-01,121.518723
1874-12-01,120.721007
1875-01-01,120.721007
1875-02-01,120.455102
1875-03-01,122.050533
1875-04-01,122.633124
1875-05-01,120.857726
1875-06-01,120.448247
1875-07-01,120.723243
1875-08-01,120.246156
1875-09-01,120.173251
1875-10-01,118.248279
1875-11-01,121.209440
1875-12-01,122.263654
1876-01-01,125.876475
1876-02-01,127.569880
1876-03-01,127.287646
1876-04-01,123.572941
1876-05-01,123.384820
1876-06-01,125.966967
1876-07-01,124.449293
1876-08-01,118.174117
1876-09-01,109.929784
1876-10-01,107.346499
1876-11-01,104.350182
1876-12-01,101.933440
1877-01-01,99.321733
1877-02-01,95.949194
1877-03-01,95.321107
1877-04-01,85.994198
1877-05-01,84.458272
1877-06-01,82.865017
1877-07-01,85.698787
1877-08-01,95.274375
1877-09-01,102.201957
1877-10-01,104.410024
1877-11-01,104.889035
1877-12-01,104.567289
1878-01-01,107.802010
1878-02-01,106.578161
1878-03-01,110.899957
1878-04-01,115.206366
1878-05-01,119.403784
1878-06-01,124.676239
1878-07-01,125.806878
1878-08-01,123.336244
1878-09-01,125.838718
1878-10-01,125.806878
1878-11-01,126.869955
1878-12-01,129.072785
1879-01-01,132.396582
1879-02-01,135.644823
1879-03-01,134.985342
1879-04-01,141.044753
1879-05-01,147.404861
1879-06-01,149.895853
1879-07-01,151.146102
1879-08-01,152.268474
1879-09-01,152.558915
1879-10-01,160.188826
1879-11-01,160.223092
1879-12-01,155.195564
1880-01-01,156.582559
1880-02-01,159.340373
1880-03-01,160.873476
1880-04-01,163.396956
1880-05-01,155.023154
1880-06-01,158.883578
1880-07-01,166.180945
1880-08-01,172.151518
1880-09-01,170.066191
1880-10-01,174.990887
1880-11-01,182.322829
1880-12-01,187.899375
1881-01-01,201.172605
1881-02-01,198.516977
1881-03-01,200.769195
1881-04-01,198.145531
1881-05-01,209.134579
1881-06-01,211.708543
1881-07-01,202.286836
1881-08-01,193.672500
1881-09-01,187.935937
1881-10-01,183.216306
1881-11-01,186.131752
1881-12-01,180.719197
1882-01-01,178.012920
1882-02-01,172.491449
1882-03-01,172.193537
1882-04-01,170.613459
1882-05-01,167.015942
1882-06-01,164.641398
1882-07-01,175.498363
1882-08-01,179.134479
1882-09-01,185.897520
1882-10-01,182.523382
1882-11-01,176.353754
1882-12-01,178.951496
1883-01-01,178.032224
1883-02-01,172.407801
1883-03-01,176.193682
1883-04-01,181.600648
1883-05-01,180.240375
1883-06-01,187.255884
1883-07-01,188.123412
1883-08-01,179.587271
1883-09-01,183.429267
1883-10-01,178.453789
1883-11-01,182.992691
1883-12-01,177.126995
1884-01-01,171.819819
1884-02-01,176.463598
1884-03-01,175.800201
1884-04-01,171.372124
1884-05-01,160.873754
1884-06-01,154.300418
1884-07-01,155.976510
1884-08-01,165.768757
1884-09-01,162.287262
1884-10-01,158.728383
1884-11-01,159.044469
1884-12-01,160.503119
1885-01-01,156.804890
1885-02-01,159.775708
1885-03-01,163.866318
1885-04-01,161.612587
1885-05-01,163.522749
1885-06-01,166.687738
1885-07-01,170.831958
1885-08-01,180.407740
1885-09-01,180.255345
1885-10-01,190.721784
1885-11-01,200.708399
1885-12-01,194.544487
1886-01-01,199.176274
1886-02-01,203.006586
1886-03-01,201.188224
1886-04-01,200.895213
1886-05-01,201.895734
1886-06-01,213.818769
1886-07-01,214.363399
1886-08-01,213.305936
1886-09-01,218.866985
1886-10-01,224.428034
1886-11-01,229.989082
1886-12-01,221.298634
1887-01-01,213.731463
1887-02-01,209.702785
1887-03-01,214.623608
1887-04-01,219.544432
1887-05-01,223.329681
1887-06-01,219.476932
1887-07-01,216.694060
1887-08-01,208.752056
1887-09-01,208.553496
1887-10-01,199.176274
1887-11-01,200.618188
1887-12-01,194.896644
1888-01-01,194.143938
1888-02-01,195.266467
1888-03-01,187.870010
1888-04-01,190.803247
1888-05-01,195.697364
1888-06-01,191.898679
1888-07-01,194.561789
1888-08-01,198.725563
1888-09-01,203.646387
1888-10-01,200.156347
1888-11-01,193.787176
1888-12-01,190.088947
1889-01-01,200.708399
1889-02-01,205.452329
1889-03-01,203.641828
1889-04-01,203.249454
1889-05-01,213.961216
1889-06-01,217.580861
1889-07-01,213.156851
1889-08-01,215.972130
1889-09-01,218.469767
1889-10-01,214.497590
1889-11-01,212.511501
1889-12-01,208.742683
1890-01-01,216.374313
1890-02-01,213.961216
1890-03-01,212.352486
1890-04-01,216.776496
1890-05-01,223.236380
1890-06-01,221.647509
1890-07-01,220.058638
