index,date,a,b,diff_pct
0,2014-09-01,5462561758.500000,7026208707.880522,-22.254490
1,2014-10-01,4713551975.000000,6143302534.647423,-23.273322
2,2014-11-01,5012362809.250000,6864655095.123766,-26.983035
3,2014-12-01,4282548320.000000,5814130198.044676,-26.342408
4,2015-01-01,3128066494.500000,3948756102.229427,-20.783497
5,2015-02-01,3303362707.250000,4616959836.553619,-28.451561
6,2015-03-01,3540605232.000000,4434669584.046264,-20.160788
7,2015-04-01,3189687666.750000,4287969536.405218,-25.613099
8,2015-05-01,3343890403.250000,4179837388.873788,-19.999510
9,2015-06-01,3560939249.000000,4776915296.694445,-25.455257
10,2015-07-01,4190502510.000000,5168733110.092722,-18.925926
11,2015-08-01,3342178538.750000,4177404140.560144,-19.993890
12,2015-09-01,3485080629.000000,4286425967.018368,-18.694953
13,2015-10-01,4829226265.000000,5704690546.665365,-15.346394
14,2015-11-01,5450639792.500000,6851472552.620172,-20.445718
15,2015-12-01,6297689970.000000,7818323853.168397,-19.449615
16,2016-01-01,5817161053.250000,6696146969.423208,-13.126742
17,2016-02-01,6688772440.000000,7947791947.681399,-15.841123
18,2016-03-01,6371547075.000000,7567050927.847557,-15.798808
19,2016-04-01,6948494398.500000,8140650289.141046,-14.644480
20,2016-05-01,7413801635.250000,9649015986.883465,-23.165205
21,2016-06-01,10536764688.000000,12226591224.528809,-13.820913
22,2016-07-01,9941079010.500000,11343086575.281422,-12.360018
23,2016-08-01,9058762119.070000,10449538611.883162,-13.309454
24,2016-09-01,9627601700.000000,11071693218.846916,-13.043095
25,2016-10-01,11235716800.000000,12728393413.308289,-11.727141
26,2016-11-01,11682716594.559999,13540410102.649048,-13.719625
27,2016-12-01,15471581477.240000,17499843183.216698,-11.590171
28,2017-01-01,14807091033.780001,17620777453.081532,-15.968004
29,2017-02-01,18953146685.570000,21426137316.926559,-11.541934
30,2017-03-01,16669992676.500000,19461783877.587276,-14.344991
31,2017-04-01,21793716720.000000,24475263997.406982,-10.956153
32,2017-05-01,35455558733.330002,41517101244.911964,-14.600110
33,2017-06-01,40149212970.580002,45047604349.462044,-10.873811
34,2017-07-01,45457604972.500000,52211016454.340233,-12.934840
35,2017-08-01,70627829462.500000,85405125068.024780,-17.302586
36,2017-09-01,70344710887.500000,78783187461.939819,-10.711012
37,2017-10-01,103490655920.000000,117454535258.915359,-11.888753
38,2017-11-01,175565825100.000000,185823805623.000214,-5.520273
39,2017-12-01,246772021500.000000,257054828693.803406,-4.000239
40,2018-01-01,195319532597.640015,185596828053.137146,5.238616
41,2018-02-01,161968902943.750000,188807212987.378387,-14.214664
42,2018-03-01,117894268837.429993,126626787520.194885,-6.896265
43,2018-04-01,159304269037.500000,167791803109.323761,-5.058372
44,2018-05-01,129015936000.000000,136080678160.642334,-5.191584
45,2018-06-01,104723345850.000000,116285148592.243134,-9.942631
46,2018-07-01,132613570250.000000,141278828029.270660,-6.133444
47,2018-08-01,122277681850.000000,127789825907.960007,-4.313445
48,2018-09-01,111960196250.000000,120308281686.509277,-6.938912
49,2018-10-01,111141531531.250000,114716458728.838394,-3.116316
50,2018-11-01,73314478650.000000,72946388322.420639,0.504604
51,2018-12-01,65977206750.000000,67960724037.798309,-2.918623
52,2019-01-01,59372637512.500000,62787311177.760536,-5.438477
53,2019-02-01,66687802637.500000,69995985801.941498,-4.726247
54,2019-03-01,71924617468.750000,74546775248.804321,-3.517466
55,2019-04-01,90587761275.000000,97159592972.638184,-6.763956
56,2019-05-01,155968149987.500000,155697569288.510254,0.173786
57,2019-06-01,214870915200.000000,196420129343.698639,9.393531
58,2019-07-01,169152943500.000000,183136905441.878265,-7.635797
59,2019-08-01,171193768425.000000,174875578005.900787,-2.105388
60,2019-09-01,143858498625.000000,150601763251.480743,-4.477547
61,2019-10-01,164739901837.500000,167047955054.588165,-1.381671
62,2019-11-01,128224529550.000000,137450895645.086761,-6.712482
63,2019-12-01,132101464175.000000,130622851765.992554,1.131971
64,2020-01-01,164124971700.000000,169788833339.043121,-3.335827
65,2020-02-01,159809072462.500000,156151648556.594910,2.342226
66,2020-03-01,116157097787.500000,116914231113.216721,-0.647597
67,2020-04-01,141163953612.500000,157223798386.990234,-10.214640
68,2020-05-01,175730838425.000000,171795847035.311951,2.290504
69,2020-06-01,164894594962.500000,165929558544.333221,-0.623737
70,2020-07-01,208598710515.619995,205613838078.379272,1.451688
71,2020-08-01,214651351806.250000,212102736683.066010,1.201595
72,2020-09-01,201229315425.000000,195827008581.450226,2.758714
73,2020-10-01,249803263506.250000,250238142559.513672,-0.173786
74,2020-11-01,314264240831.250000,356369963809.989624,-11.815172
75,2020-12-01,502977808987.500000,526619206963.401733,-4.489278
76,2021-01-01,636570743062.500000,601297345480.764404,5.866215
77,2021-02-01,941263851300.000000,819620898979.361450,14.841368
78,2021-03-01,1101716165000.000000,1069860265089.837769,2.977576
