index,date,a,b,diff_pct
0,2004-11-01,3084486493761.350098,18047999572.753902,16990.461917
1,2004-12-01,2990168131003.020020,17519999694.824219,16967.169995
2,2005-01-01,2882863728356.569824,16888000488.281250,16970.485818
3,2005-02-01,2983333460989.299805,17411999511.718750,17033.778685
4,2005-03-01,2930023118313.310059,17127999877.929688,17006.627389
5,2005-04-01,2973081455968.720215,17339999389.648438,17045.799081
6,2005-05-01,2845273043281.100098,16660000610.351562,16978.469022
7,2005-06-01,2979232617265.560059,17375999450.683594,17045.676286
8,2005-07-01,2938224597183.229980,17127999877.929688,17054.510848
9,2005-08-01,2964879768521.229980,17360000610.351562,16978.799909
10,2005-09-01,3205460236435.240234,18680000305.175781,17059.851092
11,2005-10-01,3178805065097.250000,18560000610.351559,17027.181900
12,2005-11-01,3380427830502.020020,19639999389.648441,17111.954865
13,2005-12-01,3534207697233.169922,20632000732.421875,17029.738134
14,2006-01-01,3901229560401.029785,22680000305.175781,17101.188306
15,2006-02-01,3838350512843.770020,22427999877.929688,17014.100828
16,2006-03-01,3976410930551.959961,23239999389.648441,17010.202388
17,2006-04-01,4454837831512.450195,26035998535.156246,17010.301437
18,2006-05-01,4391275483815.870117,25692001342.773441,16991.994607
19,2006-06-01,4193070053417.959961,24491999816.894527,17020.162032
20,2006-07-01,4334547806133.020020,25263999938.964844,17057.013207
21,2006-08-01,4277820128450.160156,24916000366.210938,17068.967995
22,2006-09-01,4091233303351.450195,23788000488.281246,17098.727171
23,2006-10-01,4128823988426.919922,24096000671.386719,17034.893233
24,2006-11-01,4421348198738.299805,25755999755.859371,17066.284519
25,2006-12-01,4341382476146.740234,25283999633.789062,17070.473576
26,2007-01-01,4456204848946.219727,25932000732.421875,17084.192207
27,2007-02-01,4575128274047.030273,26592001342.773441,17104.903892
28,2007-03-01,4531386219097.160156,26295999145.507809,17132.226827
29,2007-04-01,4650992944337.280273,26835998535.156246,17231.171554
30,2007-05-01,4517716879069.709961,26216000366.210938,17132.670186
31,2007-06-01,4429549469030.650391,25707998657.226559,17130.238449
32,2007-07-01,4558041599012.730469,26316000366.210938,17220.419272
33,2007-08-01,4599732919234.370117,26607998657.226559,17187.030785
34,2007-09-01,5076792802761.080078,29404000854.492188,17165.653160
35,2007-10-01,5413058650867.190430,31448001098.632809,17112.727238
36,2007-11-01,5346078968163.750000,30927999877.929688,17185.563209
37,2007-12-01,5706266161317.889648,32983999633.789062,17200.103761
38,2008-01-01,6306350105091.580078,36560000610.351562,17149.316192
39,2008-02-01,6643982553476.320312,38472000122.070312,17169.657237
40,2008-03-01,6261924750002.389648,36164001464.843750,17215.353657
41,2008-04-01,5896953204407.620117,34660000610.351562,16913.713504
42,2008-05-01,6064402619743.790039,34979998779.296875,17236.771959
43,2008-06-01,6330271450139.610352,36560000610.351562,17214.746566
44,2008-07-01,6246205092401.870117,36032000732.421883,17235.160317
45,2008-08-01,5667991758947.959961,32683999633.789062,17241.793607
46,2008-09-01,5974868609426.099609,34027999877.929688,17458.682940
47,2008-10-01,4899091382404.330078,28535998535.156246,17068.109174
48,2008-11-01,5578457748630.269531,32123999023.437500,17265.390108
49,2008-12-01,6039114257261.990234,34607998657.226562,17350.053432
50,2009-01-01,6337789420292.639648,36523999023.437508,17252.397300
51,2009-02-01,6434841817918.509766,37051998901.367195,17267.057132
52,2009-03-01,6305666387797.120117,36111999511.718750,17361.415798
53,2009-04-01,6087640664652.500000,34907998657.226562,17339.099630
54,2009-05-01,6689774925999.280273,38479998779.296883,17285.070526
