date,a,b,diff_pct
1953-01-01,2.590000,2.852222,-9.193611
1954-01-01,2.401670,2.401667,0.000139
1955-01-01,2.816670,2.816667,0.000118
1956-01-01,3.182500,3.182500,0.000000
1957-01-01,3.647500,3.647500,-0.000000
1958-01-01,3.315830,3.315833,-0.000101
1959-01-01,4.333330,4.333333,-0.000077
1960-01-01,4.116670,4.116667,0.000081
1961-01-01,3.882500,3.882500,0.000000
1962-01-01,3.945830,3.945833,-0.000084
1963-01-01,4.002500,4.002500,0.000000
1964-01-01,4.186670,4.186667,0.000080
1965-01-01,4.282500,4.282500,0.000000
1966-01-01,4.923330,4.923333,-0.000068
1967-01-01,5.073330,5.073333,-0.000066
1968-01-01,5.645830,5.645833,-0.000059
1969-01-01,6.670830,6.670833,-0.000050
1970-01-01,7.348330,7.348333,-0.000045
1971-01-01,6.159170,6.159167,0.000054
1972-01-01,6.210000,6.210000,0.000000
1973-01-01,6.842500,6.842500,0.000000
1974-01-01,7.556670,7.557500,-0.010982
1975-01-01,7.987500,7.987500,-0.000000
1976-01-01,7.610830,7.611667,-0.010992
1977-01-01,7.419170,7.419167,0.000045
1978-01-01,8.410000,8.410000,0.000000
1979-01-01,9.442500,9.442500,0.000000
1980-01-01,11.460000,11.460000,0.000000
1981-01-01,13.910800,13.910833,-0.000240
1982-01-01,13.000800,13.001667,-0.006666
1983-01-01,11.105000,11.105000,0.000000
1984-01-01,12.438300,12.438333,-0.000268
1985-01-01,10.623300,10.623333,-0.000314
1986-01-01,7.682500,7.682500,0.000000
1987-01-01,8.384170,8.384167,0.000040
1988-01-01,8.845830,8.845833,-0.000038
1989-01-01,8.499170,8.498333,0.009845
1990-01-01,8.550000,8.550000,0.000000
1991-01-01,7.858330,7.858333,-0.000042
1992-01-01,7.010000,7.010000,-0.000000
1993-01-01,5.873330,5.873333,-0.000057
1994-01-01,7.080000,7.080000,0.000000
1995-01-01,6.580000,6.580000,0.000000
1996-01-01,6.438330,6.438333,-0.000052
1997-01-01,6.352500,6.352500,0.000000
1998-01-01,5.264170,5.264167,0.000063
1999-01-01,5.636670,5.636667,0.000059
2000-01-01,6.029170,6.029167,0.000055
2001-01-01,5.017500,5.017500,0.000000
2002-01-01,4.610830,4.610833,-0.000072
2003-01-01,4.015000,4.015000,0.000000
2004-01-01,4.274170,4.274167,0.000078
2005-01-01,4.290000,4.290000,0.000000
2006-01-01,4.791670,4.791667,0.000070
2007-01-01,4.629170,4.629167,0.000072
2008-01-01,3.666670,3.666667,0.000091
2009-01-01,3.256670,3.256667,0.000102
2010-01-01,3.214170,3.214167,0.000104
2011-01-01,2.785830,2.785833,-0.000120
2012-01-01,1.802500,1.802500,0.000000
2013-01-01,2.350830,2.350833,-0.000142
2014-01-01,2.540833,2.540833,-0.000013
2015-01-01,2.135833,2.135833,-0.000016
2016-01-01,1.841667,1.841667,0.000018
2017-01-01,2.330000,2.330000,0.000000
2018-01-01,2.910000,2.910000,0.000000
2019-01-01,2.144167,2.144167,0.000016
2020-01-01,0.894167,0.894167,0.000037
