index,date,a,b,diff_pct
0,1945-10-01,116049000000.000000,116049000000.000000,0.000000
1,1945-11-01,116049000000.000000,116049000000.000000,0.000000
2,1945-12-01,116049000000.000000,116049000000.000000,0.000000
3,1946-01-01,116049000000.000000,116049000000.000000,0.000000
4,1946-02-01,116049000000.000000,116049000000.000000,0.000000
5,1946-03-01,116049000000.000000,116049000000.000000,0.000000
6,1946-04-01,116049000000.000000,116049000000.000000,0.000000
7,1946-05-01,116049000000.000000,116049000000.000000,0.000000
8,1946-06-01,116049000000.000000,116049000000.000000,0.000000
9,1946-07-01,116049000000.000000,116049000000.000000,0.000000
10,1946-08-01,116049000000.000000,116049000000.000000,0.000000
11,1946-09-01,116049000000.000000,116049000000.000000,0.000000
12,1946-10-01,133422000000.000000,133422000000.000000,0.000000
13,1946-11-01,133422000000.000000,133422000000.000000,0.000000
14,1946-12-01,133422000000.000000,133422000000.000000,0.000000
15,1947-01-01,133422000000.000000,133422000000.000000,0.000000
16,1947-02-01,133422000000.000000,133422000000.000000,0.000000
17,1947-03-01,133422000000.000000,133422000000.000000,0.000000
18,1947-04-01,133422000000.000000,133422000000.000000,0.000000
19,1947-05-01,133422000000.000000,133422000000.000000,0.000000
20,1947-06-01,133422000000.000000,133422000000.000000,0.000000
21,1947-07-01,133422000000.000000,133422000000.000000,0.000000
22,1947-08-01,133422000000.000000,133422000000.000000,0.000000
23,1947-09-01,133422000000.000000,133422000000.000000,0.000000
24,1947-10-01,177473000000.000000,177473000000.000000,0.000000
25,1947-11-01,177473000000.000000,177473000000.000000,0.000000
26,1947-12-01,177473000000.000000,177473000000.000000,0.000000
27,1948-01-01,177473000000.000000,177473000000.000000,0.000000
28,1948-02-01,177473000000.000000,177473000000.000000,0.000000
29,1948-03-01,177473000000.000000,177473000000.000000,0.000000
30,1948-04-01,177473000000.000000,177473000000.000000,0.000000
31,1948-05-01,177473000000.000000,177473000000.000000,0.000000
32,1948-06-01,177473000000.000000,177473000000.000000,0.000000
33,1948-07-01,177473000000.000000,177473000000.000000,0.000000
34,1948-08-01,177473000000.000000,177473000000.000000,0.000000
35,1948-09-01,177473000000.000000,177473000000.000000,0.000000
36,1948-10-01,199326000000.000000,199326000000.000000,0.000000
37,1948-11-01,199326000000.000000,199326000000.000000,0.000000
38,1948-12-01,199326000000.000000,199326000000.000000,0.000000
39,1949-01-01,199326000000.000000,199326000000.000000,0.000000
40,1949-02-01,199326000000.000000,199326000000.000000,0.000000
41,1949-03-01,199326000000.000000,199326000000.000000,0.000000
42,1949-04-01,199326000000.000000,199326000000.000000,0.000000
43,1949-05-01,199326000000.000000,199326000000.000000,0.000000
44,1949-06-01,199326000000.000000,199326000000.000000,0.000000
45,1949-07-01,199326000000.000000,199326000000.000000,0.000000
46,1949-08-01,199326000000.000000,199326000000.000000,0.000000
47,1949-09-01,199326000000.000000,199326000000.000000,0.000000
48,1949-10-01,216535000000.000000,216535000000.000000,0.000000
49,1949-11-01,216535000000.000000,216535000000.000000,0.000000
50,1949-12-01,216535000000.000000,216535000000.000000,0.000000
51,1950-01-01,216535000000.000000,216535000000.000000,0.000000
52,1950-02-01,216535000000.000000,216535000000.000000,0.000000
53,1950-03-01,216535000000.000000,216535000000.000000,0.000000
54,1950-04-01,216535000000.000000,216535000000.000000,0.000000
55,1950-05-01,216535000000.000000,216535000000.000000,0.000000
56,1950-06-01,216535000000.000000,216535000000.000000,0.000000
57,1950-07-01,216535000000.000000,216535000000.000000,0.000000
58,1950-08-01,216535000000.000000,216535000000.000000,0.000000
59,1950-09-01,216535000000.000000,216535000000.000000,0.000000
60,1950-10-01,243315000000.000000,243315000000.000000,0.000000
61,1950-11-01,243315000000.000000,243315000000.000000,0.000000
62,1950-12-01,243315000000.000000,243315000000.000000,0.000000
63,1951-01-01,243315000000.000000,243315000000.000000,0.000000
64,1951-02-01,243315000000.000000,243315000000.000000,0.000000
65,1951-03-01,243315000000.000000,243315000000.000000,0.000000
66,1951-04-01,243315000000.000000,243315000000.000000,0.000000
67,1951-05-01,243315000000.000000,243315000000.000000,0.000000
68,1951-06-01,243315000000.000000,243315000000.000000,0.000000
69,1951-07-01,243315000000.000000,243315000000.000000,0.000000
70,1951-08-01,243315000000.000000,243315000000.000000,0.000000
71,1951-09-01,243315000000.000000,243315000000.000000,0.000000
72,1951-10-01,270874000000.000000,270874000000.000000,0.000000
73,1951-11-01,270874000000.000000,270874000000.000000,0.000000
