mode,hyp,label,horizon,n,mean,win,t
us_gics,H1,改善→领先 + heading 0-90°,1m,72,-0.0010489118708923223,0.4722222222222222,-0.18836699521808933
us_gics,H1,改善→领先 + heading 0-90°,3m,72,0.004095292418634746,0.5555555555555556,0.49143023395117574
us_gics,H1,改善→领先 + heading 0-90°,6m,71,-0.0018740398713952965,0.4788732394366197,-0.1777165838437736
us_gics,H2,领先内 heading 180-270°,1m,333,0.0037707390447196,0.5375375375375375,1.9041980408001717
us_gics,H2,领先内 heading 180-270°,3m,330,0.005739727857044179,0.5363636363636364,1.8585116898515566
us_gics,H2,领先内 heading 180-270°,6m,330,0.014920379423318454,0.5545454545454546,3.289706317129953
us_gics,H3a,heading NE（0-90）,1m,1418,-0.001566566247964648,0.47461212976022565,-1.4495075962812825
us_gics,H3a,heading NE（0-90）,3m,1414,-0.004712120385539278,0.46463932107496464,-2.5729947102687953
us_gics,H3a,heading NE（0-90）,6m,1398,-0.005910269051410646,0.4685264663805436,-2.253723313602904
us_gics,H3b,heading SW（180-270）,1m,1420,0.000593886099278178,0.5035211267605634,0.5874872575349341
us_gics,H3b,heading SW（180-270）,3m,1407,8.835800111980414e-05,0.4975124378109453,0.051790494155591026
us_gics,H3b,heading SW（180-270）,6m,1402,-0.0037408583212660777,0.47360912981455067,-1.5353763803953426
us_gics,H3,NE 均值 − SW 均值,1m,2838,-0.002160452347242826,-0.02890899700033772,-1.4599186599596206
us_gics,H3,NE 均值 − SW 均值,3m,2821,-0.004800478386659082,-0.032873116735980645,-1.9179526902757422
us_gics,H3,NE 均值 − SW 均值,6m,2800,-0.002169410730144568,-0.00508266343400704,-0.6060495810846592
us_gics,H4a,远距且强(Ratio≥100)→应回落,1m,199,-0.0022798911467052296,0.48743718592964824,-0.736694230224927
us_gics,H4b,远距且弱(Ratio<100)→应反弹,1m,202,-0.0060724622393851955,0.4504950495049505,-2.0331923781549177
us_gics,H4a,远距且强(Ratio≥100)→应回落,3m,198,0.004045733137206287,0.5303030303030303,0.8179504302575399
us_gics,H4b,远距且弱(Ratio<100)→应反弹,3m,202,-0.017113220467500887,0.41089108910891087,-3.7304754959429665
us_gics,H4a,远距且强(Ratio≥100)→应回落,6m,195,0.012990005615291882,0.5282051282051282,1.985117061966525
us_gics,H4b,远距且弱(Ratio<100)→应反弹,6m,199,-0.03932170219899549,0.3316582914572864,-6.2077863012271
us_gics,H5a,长尾(高速度)后续超额,1m,798,-0.0029586973819310867,0.48621553884711777,-2.106048578880737
us_gics,H5b,短尾(低速度)后续超额,1m,801,-0.00138189792837193,0.4893882646691635,-0.9703452780123621
us_gics,H5c,长尾|超额| − 短尾|超额|（波动差）,1m,1599,-0.0003992139500174907,,
us_gics,H5a,长尾(高速度)后续超额,3m,792,-0.005376096651083553,0.4583333333333333,-2.1822527862472842
us_gics,H5b,短尾(低速度)后续超额,3m,801,-0.001182904880227971,0.48564294631710364,-0.47056156754115386
us_gics,H5c,长尾|超额| − 短尾|超额|（波动差）,3m,1593,-0.0018288380851125344,,
us_gics,H5a,长尾(高速度)后续超额,6m,776,-0.008061210842552194,0.4497422680412371,-2.283279627549351
us_gics,H5b,短尾(低速度)后续超额,6m,801,0.0012817355961162102,0.519350811485643,0.3651324479159244
us_gics,H5c,长尾|超额| − 短尾|超额|（波动差）,6m,1577,-0.0003072364347446732,,
us_gics,H6,动量持续>100 且 Ratio<100 → 3期内 Ratio 上穿100,3m,910,0.17472527472527472,0.17472527472527472,
us_gics,H6b,对照：动量未持续且 Ratio<100 → 3期内上穿,3m,1029,0.09815354713313897,0.09815354713313897,
cn_sw,H1,改善→领先 + heading 0-90°,1m,84,0.004474156429052552,0.4880952380952381,0.6989117468891439
cn_sw,H1,改善→领先 + heading 0-90°,3m,84,0.01146333506340585,0.5357142857142857,1.0824350268721121
cn_sw,H1,改善→领先 + heading 0-90°,6m,82,0.017399800810503463,0.5609756097560976,1.1533923298396256
cn_sw,H2,领先内 heading 180-270°,1m,499,0.00037411809726071115,0.5150300601202404,0.17195408274557467
cn_sw,H2,领先内 heading 180-270°,3m,496,0.009704818969795964,0.5141129032258065,2.5597753721043253
cn_sw,H2,领先内 heading 180-270°,6m,489,0.020582627135769704,0.5378323108384458,3.6244634059039416
cn_sw,H3a,heading NE（0-90）,1m,2241,-0.00014526664364317805,0.4542614904060687,-0.14714886044336914
cn_sw,H3a,heading NE（0-90）,3m,2229,-0.0035419527127183055,0.4266487213997308,-1.8760315178143117
cn_sw,H3a,heading NE（0-90）,6m,2185,-0.0032495398392972954,0.43249427917620137,-1.167256304288949
cn_sw,H3b,heading SW（180-270）,1m,2270,0.00045432203078537973,0.48590308370044055,0.44830082918811426
cn_sw,H3b,heading SW（180-270）,3m,2238,0.004384127466254249,0.483467381590706,2.4004664912452314
cn_sw,H3b,heading SW（180-270）,6m,2214,0.007184045060249168,0.477416440831075,2.5393233263229935
