mode,id,name,date,rs_ratio,rs_momentum,quadrant,prev_quadrant,transition,bars_in_quadrant,heading,heading_sector,velocity,path_len_3,vel_trend,distance,mom_above_3,ratio_above_3,rel_1m,rel_3m,rel_6m
country,cn_sse,上证指数,1993-01-01,111.18530300096849,94.1645596552168,weakening,weakening,weakening,1,,na,,0.0,na,12.615996482283835,0,1,0.1074991508314842,0.13053929115306517,-0.28615290015136996
country,cn_sse,上证指数,1993-02-01,113.71220907957247,103.2675996485223,leading,weakening,weakening->leading,1,15.514082634030187,NE,9.447253116636876,9.447253116636876,na,14.096165624201955,1,2,-0.3276578017436541,-0.3171773518096257,-0.3770362156143767
country,cn_sse,上证指数,1993-03-01,112.84479699848981,109.92119085922819,leading,leading,leading->leading,2,352.57238233715367,NW,6.709894165900885,16.15714728253776,na,16.230182931736966,2,3,0.49292445134592355,0.09015670481879323,-0.05456549943032596
country,cn_sse,上证指数,1993-04-01,117.20334403481779,115.52471144084018,leading,leading,leading->leading,3,37.87659705963139,NE,7.099040440540718,23.25618772307848,stable,23.17265007075485,3,3,-0.33424692306163273,-0.3696104066514465,-0.46312074066385367
country,cn_sse,上证指数,1993-05-01,115.39522261746116,114.6897096278919,leading,leading,leading->leading,4,245.21221089004797,SW,1.9916151956466548,15.800549802088259,stable,21.27910826122579,3,3,0.0757509486356176,-0.07224356633158768,0.027093649705766776
country,cn_sse,上证指数,1993-06-01,113.64476929334153,113.71087807987692,leading,leading,leading->leading,5,240.78662680258475,SW,2.005541831852648,11.096197468040021,stable,19.343420245390035,3,3,-0.11977101275074797,-0.1346071586928168,-0.20737332674340558
country,cn_sse,上证指数,1993-07-01,110.6140617760682,107.97505665492427,leading,leading,leading->leading,6,207.85118795887328,SW,6.487282595525099,10.484439623024402,accel,13.276288488709632,3,3,-0.017849846471871045,-0.11915308071145048,-0.20048930051324088
country,cn_sse,上证指数,1993-08-01,108.00418685228281,102.28858492792584,leading,leading,leading->leading,7,204.653328593086,SW,6.256788938405731,14.749613365783478,stable,8.324940128228334,3,3,0.003947826799661991,0.10346321472501052,-0.14694670727002113
country,cn_sse,上证指数,1993-09-01,105.82456372758,96.90128115085366,weakening,leading,leading->weakening,1,202.02752488383462,SW,5.811522946026747,18.555594479957577,decel,6.597545083036221,2,3,-0.10414249331880354,-0.07981617819566045,-0.18003655751357217
country,cn_sse,上证指数,1993-10-01,102.41332364125392,91.61658107955324,weakening,weakening,weakening->weakening,2,212.84198392470677,SW,6.2900408401027565,18.358352724535237,stable,8.723866332833154,1,3,0.22168066111315354,-0.08415433787473292,-0.23660495214202726
country,cn_sse,上证指数,1993-11-01,101.71123486228363,88.49801968300191,weakening,weakening,weakening->weakening,3,192.68759614640817,SW,3.196615997835237,15.298179783964741,stable,11.628580135446729,0,3,-0.16353354989604796,-0.22880892445125223,-0.4237734567887024
country,cn_sse,上证指数,1993-12-01,95.99553305586244,83.44543495579825,lagging,weakening,weakening->lagging,1,228.52385614533506,SW,7.628752163066921,17.115409001004913,stable,17.032010430639037,0,2,-0.10871806352630031,-0.11078621423698931,-0.38961648977494
country,cn_sse,上证指数,1994-01-01,84.5266462853987,78.4118716269298,lagging,lagging,lagging->lagging,2,246.30387871210468,SW,12.524860220355654,23.350228381257814,accel,26.56072216317404,0,1,0.030992740087547155,-0.16694684787095726,-0.5179952539399777
country,cn_sse,上证指数,1994-02-01,81.89830936753167,78.51675997782549,lagging,lagging,lagging->lagging,3,272.2852749992559,NW,2.6304289612107725,22.784041344633348,stable,28.09271801737868,0,0,-0.04053328838162695,-0.2557257557976065,0.0007380018061129423
country,cn_sse,上证指数,1994-03-01,81.27919580558519,81.27632491121156,lagging,lagging,lagging->lagging,4,347.35496697309014,NW,2.828161986902472,17.9834511684689,stable,26.477245296974075,0,0,-0.17037571671171747,-0.33046520371017263,0.08505713133563608
country,cn_sse,上证指数,1994-04-01,80.36730417551192,86.40738421103885,lagging,lagging,lagging->lagging,5,349.9226135223911,NW,5.21146005293543,10.670051001048673,accel,23.87890176124496,0,0,-0.07365676272323196,-0.4527793898693303,0.05779124842794214
country,cn_sse,上证指数,1994-05-01,80.4785457302522,91.14922526558341,lagging,lagging,lagging->lagging,6,1.3438878808047339,NE,4.7431457146144425,12.782767754452344,stable,21.434164089258108,0,0,-0.12955692739339697,0.37020473087809225,0.2350592768795543
country,cn_sse,上证指数,1994-06-01,80.45367130488358,95.49855638742999,lagging,lagging,lagging->lagging,7,359.6723210964905,NW,4.34940225140198,14.304008018951851,decel,20.057965002828148,0,0,-0.31994693865200663,0.6443382769689889,0.3467690405521868
country,cn_sse,上证指数,1994-07-01,79.98908032482588,100.0896156390915,improving,lagging,lagging->improving,1,354.2216399394518,NW,4.614506455843118,13.70705442185954,stable,20.011120338677706,1,0,1.3142520440850551,0.9307410532443225,0.65826958296805
country,cn_sse,上证指数,1994-08-01,84.91515212935678,108.1978527921775,improving,improving,improving->improving,2,31.280320645756433,NE,9.487343840827023,18.45125254807212,accel,17.16850097366283,2,0,0.0342884326486671,-0.08370321745133913,-0.32562661542441584
country,cn_sse,上证指数,1994-09-01,88.56423410384028,116.44730212587348,improving,improving,improving->improving,3,23.86184278906363,NE,9.020488543627632,23.122338840297772,stable,20.032236241905995,3,0,-0.1929503556173583,-0.17366899033587746,-0.2644291152903313
country,cn_sse,上证指数,1994-10-01,89.49722963419231,119.78618602809874,improving,improving,improving->improving,4,15.61213597107639,NE,3.46678905793183,21.974621442386486,decel,22.40092281347842,3,0,0.08318533567839803,-0.13697180387989727,-0.2042629474014216
country,cn_sse,上证指数,1994-11-01,90.98772533191513,118.32803220397157,improving,improving,improving->improving,5,134.37158399476132,SE,2.085135487143921,14.572413088703383,decel,20.423953073849916,3,0,-0.06455266207736798,-0.2707865008793572,-0.15094102265300147
country,cn_sse,上证指数,1994-12-01,91.57309705652726,115.53611802028597,improving,improving,improving->improving,6,168.15850647380603,SE,2.8526207012219906,8.404545246297742,stable,17.67437852822452,3,0,-0.1559090566555139,-0.09169649791573842,-0.21280893474973794
country,cn_sse,上证指数,1995-01-01,90.34478205516261,112.63006059260215,improving,improving,improving->improving,7,202.91251809233725,SW,3.154984550766253,8.092740739132164,accel,15.897850928195034,3,0,-0.059768136501891056,-0.06332818993330336,0.04153091426023936
country,cn_sse,上证指数,1995-02-01,88.41335173604358,109.40842047387153,improving,improving,improving->improving,8,210.943433858987,SW,3.756246548381359,9.763851800369602,accel,14.925441159503771,3,0,0.1504736685939061,0.18096969505838278,0.16506598736631983
country,cn_sse,上证指数,1995-03-01,87.81112186817168,106.39499237694798,improving,improving,improving->improving,9,191.30160009134647,SW,3.073016386074972,9.984247485222584,stable,13.764616871303952,3,0,-0.13151257545119133,-0.11321326960129918,-0.05044028115303956
country,cn_sse,上证指数,1995-04-01,84.75695982131529,102.63704309360213,improving,improving,improving->improving,10,219.1014645920144,SW,4.84252915578808,11.671792090244411,stable,15.469462504124412,3,0,0.17160993387590895,0.10737539014305875,0.10714556049448887
country,cn_sse,上证指数,1995-05-01,84.84352242551999,99.5844352987213,lagging,improving,improving->lagging,1,178.3757025221602,SE,3.0538348733705116,10.969380415233564,stable,15.16217354097572,2,0,-0.12110581292866718,-0.020046155008082156,-0.21967936113734043
country,cn_sse,上证指数,1995-06-01,83.79817243362264,95.5662592563372,lagging,lagging,lagging->lagging,2,194.58255314356205,SW,4.151926698913329,12.048290728071922,stable,16.79753772053038,1,0,0.07125608876544232,0.07285556253822012,-0.250063444540077
country,cn_sse,上证指数,1995-07-01,85.71472418438036,94.63023346261596,lagging,lagging,lagging->lagging,3,116.03044676699011,SE,2.1329123047710987,9.338673877054939,stable,15.261176160255038,0,0,0.04103621821360237,-0.003288086407730262,-0.3590333207407661
country,cn_sse,上证指数,1995-08-01,87.96897955028244,96.74900536804796,lagging,lagging,lagging->lagging,4,46.77454832670593,NE,3.0936809211594967,9.378519924843925,stable,12.462520578057356,0,0,-0.042086779885507575,-0.19168932723944776,-0.3759320707871494
country,cn_sse,上证指数,1995-09-01,88.72574785941367,103.18402408374418,improving,lagging,lagging->improving,1,6.707266103257926,NE,6.479364486202789,11.705957712133383,accel,11.71523668968657,1,0,-0.002094014723405202,-0.2852928297647025,-0.3343682442565896
country,cn_sse,上证指数,1995-10-01,89.39303713104212,107.45195300621718,improving,improving,improving->improving,2,8.886233546626523,NE,4.319779191036504,13.89282459839879,stable,12.962995985123209,2,0,-0.14724986133155726,-0.34464976793193003,-0.1753797351015981
country,cn_sse,上证指数,1995-11-01,86.6681426736907,105.0766860481369,improving,improving,improving->improving,3,228.9216187207567,SW,3.614822668659203,14.413966345898496,decel,14.265733805185594,3,0,-0.15134598600173643,-0.19548244927589575,-0.10139259718207017
country,cn_sse,上证指数,1995-12-01,81.62741096941977,95.18942941623075,lagging,improving,improving->lagging,1,207.01344495692473,SW,11.098054776383757,19.032656636079466,stable,18.991935578766665,2,0,-0.06492483004445093,-0.04602776730552649,0.35953529478479584
country,cn_sse,上证指数,1996-01-01,79.05089391827785,83.18330953096289,lagging,lagging,lagging->lagging,2,192.1119896392285,SW,12.279468832740669,26.99234627778363,accel,26.863844176786234,1,0,0.022079046191206153,0.239091395912163,0.5244378781480328
country,cn_sse,上证指数,1996-02-01,79.83239991695284,81.25038333071093,lagging,lagging,lagging->lagging,3,157.9859065866616,SE,2.084935327914382,25.462458937038807,stable,27.53688832012445,0,0,-0.001677192103186842,0.11925231910468215,0.4467342380057129
country,cn_sse,上证指数,1996-03-01,81.1269847357046,87.15832920662197,lagging,lagging,lagging->lagging,4,12.359647582265277,NE,6.04812155347731,20.41252571413236,stable,22.827597638205944,0,0,0.21081775558167237,0.40654961906780684,0.508778975581258
